Date, Open, High, Low, Close, Volume
02/02/22, 48.47, 49.50, 46.46, 49.34, 40548641
02/01/22, 45.89, 46.10, 42.29, 45.91, 37795566
01/31/22, 38.99, 44.75, 38.30, 44.58, 39362539
01/28/22, 36.37, 38.41, 33.095, 38.41, 43946680
01/27/22, 43.40, 43.45, 36.00, 36.36, 50033699
01/26/22, 43.78, 47.10, 40.105, 42.12, 46405008
01/25/22, 41.77, 43.35, 39.38, 40.19, 40326262
01/24/22, 41.00, 45.48, 36.6179, 45.45, 53719180
01/21/22, 45.22, 48.93, 43.40, 43.71, 45826473
01/20/22, 52.12, 53.20, 45.81, 45.99, 32438820
01/19/22, 57.48, 58.155, 50.73, 50.82, 28683330
01/18/22, 60.91, 61.38, 55.50, 55.98, 29173881
